epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.52451,4.18461,9.49733,2.70916,0,0,0,0,5.11457,5.87801,3.21248,0,0,0.1
2,5.02908,4.57096,7.36362,2.68407,0,0,0,0,5.03692,5.92338,3.14098,9.01e-05,9.01e-05,0.0990901
3,5.26985,4.22078,7.61649,2.62809,0,0,0,0,4.91027,5.96816,3.05651,0.0001604,0.0001604,0.0981604
4,5.51074,4.17087,8.7308,2.75629,0,0,0,0,4.87386,5.97467,3.0175,0.0002109,0.0002109,0.0972109
5,5.86034,3.93948,8.28994,2.59782,0,0,0,0,3.69492,4.32861,2.08281,0.0002416,0.0002416,0.0962416
6,6.28756,2.91394,6.87458,1.84344,0,0,0,0,3.64692,4.32577,2.06282,0.0002525,0.0002525,0.0952525
7,6.67248,2.89763,6.62619,1.77157,0,0,0,0,3.41887,4.18562,2.09062,0.0002436,0.0002436,0.0942436
8,7.05747,3.06287,6.49369,1.64182,0,0,0,0,3.09648,4.06266,1.98314,0.0002149,0.0002149,0.0932149
9,7.41759,3.01039,5.512,1.89461,0,0,0,0,3.26478,3.93875,2.08803,0.0001664,0.0001664,0.0921664
10,7.79344,2.61337,4.85927,1.69979,0,0,0,0,3.07964,3.81722,1.94729,9.81e-05,9.81e-05,0.0910981
